"","Metric","Mean TP1","SD TP1","Mean TP2","SD TP1","T","p","adjusted p","Cohens's d","Lower 95% CI","Upper 95% CI"
"v_intra_InferiorcerebellarpeduncleL","v_intra_InferiorcerebellarpeduncleL",0.553260854619565,0.0272814974523678,0.549289727581522,0.0293953712086657,9.24367851557621,"2.3816538409596034330928484047365412258899976649675699772229576e-20","4.3727164520018319031584696710971e-17",-0.139651949929439,-0.169412900240019,-0.109890999618858
"v_intra_SuperiorcerebellarpeduncleR","v_intra_SuperiorcerebellarpeduncleR",0.587311002038043,0.0318078914389075,0.59270397486413,0.0320032333463433,-17.3611115419001,"1.6254577617715876655693536760681512795850845093149954496005544e-67","2.9843404506126349539853333492599e-64",0.169018674998861,0.149797749958863,0.188239600038858
"v_intra_SuperiorcerebellarpeduncleL","v_intra_SuperiorcerebellarpeduncleL",0.590920213654891,0.0288313372352884,0.5941725546875,0.029378505139983,-10.4829844330353,"1.0342740339068515341266028280048193514568817564306447614046561e-25","1.8989271262529794166564427922166e-22",0.111691286912434,0.0907394549180456,0.132643118906823
"v_intra_CerebralpeduncleR","v_intra_CerebralpeduncleR",0.641416563179348,0.0317122180726623,0.652501016983696,0.0319491591804883,-25.4197196948714,"1.5267637118139194553566918683926187113267367600139129364630599e-142","2.8031381748903561200348862703693e-139",0.348216617724577,0.320560095707301,0.375873139741852
"v_intra_CerebralpeduncleL","v_intra_CerebralpeduncleL",0.680763251019022,0.0304805888611806,0.67892406861413,0.0307727472741696,4.50698962315315,"6.5753847918830323027004562267424701100132400818245159188667736e-6","0.012072406477897247307758037632294",-0.0600471198277438,-0.0861888396428691,-0.0339054000126185
"v_intra_AnteriorlimbofinternalcapsuleR","v_intra_AnteriorlimbofinternalcapsuleR",0.568450256453804,0.0315985115333588,0.569473995923913,0.0317245799625172,-2.72557128045606,"0.0064190314554110365378000909277820862953734310641636587945931175","11.785341752134663083400966943404",0.0323332890870787,0.00907149407068654,0.0555950841034708
"v_intra_AnteriorlimbofinternalcapsuleL","v_intra_AnteriorlimbofinternalcapsuleL",0.575615549252717,0.0329554895264855,0.572494375679348,0.0339318803553639,7.6016530081356,"2.9237181248775760128545073807186392812994716250590646651644018e-14","5.3679464772752295596008755509975e-11",-0.0932465063573197,-0.11734577846012,-0.0691472342545195
"v_intra_.PosteriorlimbofinternalcapsuleR","v_intra_.PosteriorlimbofinternalcapsuleR",0.65920237669837,0.0237752356763417,0.662304778872283,0.0241187144745008,-12.1892831164504,"3.5452633476587877368008753050562955175586473280254571887642050e-34","6.5091035063015342847664070600821e-31",0.129516240622091,0.108599349314129,0.150433131930052
"v_intra_PosteriorlimbofinternalcapsuleL","v_intra_PosteriorlimbofinternalcapsuleL",0.685371123641304,0.0245888827229439,0.682441659986413,0.0252430933273671,12.1116335299851,"9.1650507547497686032017503985520412637214484917830691153294608e-34","1.6827033185720575155478413731735e-30",-0.11743759458828,-0.136511257139531,-0.0983639320370294
"v_intra_RetrolenticularpartofinternalcapsuleR","v_intra_RetrolenticularpartofinternalcapsuleR",0.510317819972826,0.0330188313567887,0.512401263247283,0.0338838606811993,-6.76091955900602,"1.3711864288335069059148134838282267381220809531659619720519994e-11","2.5174982833383186792595975563096e-8",0.0622045865088455,0.0441505733503215,0.0802585996673695
"v_intra_RetrolenticularpartofinternalcapsuleL","v_intra_RetrolenticularpartofinternalcapsuleL",0.528397997961957,0.0317888309377478,0.525193171535326,0.0330406263229359,11.2763666031379,"1.7169165570711070371600336415325735174840538671076441988859782e-29","3.1522587987825525202258217658521e-26",-0.0985615337355538,-0.115737763615715,-0.0813853038553931
"v_intra_AnteriorcoronaradiataR","v_intra_AnteriorcoronaradiataR",0.490373737432065,0.040212294461495,0.489609208559783,0.0421443699253612,3.18622878840875,"0.0014414056128134314006819168726310269352779675206520100548610752","2.6464207051254600516519993781510",-0.0183657641031838,-0.0296664829269781,-0.00706504527938938
"v_intra_AnteriorcoronaradiataL","v_intra_AnteriorcoronaradiataL",0.492582280570652,0.0431935499712634,0.491768495244565,0.0446005276382379,2.96299755731054,"0.0030465898673671214093236931905431480736992988565251597154477765","5.5935389964860349075183006978372",-0.01845805971056,-0.030671250648943,-0.00624486877217707
"v_intra_SuperiorcoronaradiataR","v_intra_SuperiorcoronaradiataR",0.586675457540761,0.0323631756408506,0.585957562160326,0.0337664305529873,3.70294896683679,"0.00021310776314606867790211993825277926912629473986492789186883217","0.39126585313618209262829220663218",-0.0215225632136172,-0.0329180782589934,-0.0101270481682411
"v_intra_SuperiorcoronaradiataL","v_intra_SuperiorcoronaradiataL",0.58861418580163,0.0342272464806785,0.58389319361413,0.0357820147318503,25.6384966303688,"5.6813100290122077323190253001727394389826570577837205766545977e-145","1.0430885213266413396537730451121e-141",-0.133257490971595,-0.143491739887323,-0.123023242055866
"v_intra_PosteriorcoronaradiataR","v_intra_PosteriorcoronaradiataR",0.473493254755435,0.0420064477855639,0.470484967391304,0.0443975719429924,13.6189287589231,"3.0906792591575164183861150564052630721094610901595587177144486e-42","5.6744871198132001441569072435598e-39",-0.0682593183160726,-0.0780962962460232,-0.058422340386122
"v_intra_PosteriorcoronaradiataL","v_intra_PosteriorcoronaradiataL",0.483912308084239,0.0410707967713032,0.478189846127717,0.043061627071291,28.3557767396703,"7.1040299218157822738083250498876781229941042703792720416407007e-177","1.3042998936453776254712084791599e-173",-0.133804843354414,-0.143096708878637,-0.124512977830192
"v_intra_PosteriorthalamicradiationR","v_intra_PosteriorthalamicradiationR",0.485064343070652,0.0396769232078902,0.483712250339674,0.0396468605394709,5.18076964812632,"2.2097223906410382872920486609181284355130495203756310696403272e-7","0.00040570503092169462954682013414439",-0.0340904005639459,-0.0469937176602154,-0.0211870834676764
"v_intra_PosteriorthalamicradiationL","v_intra_PosteriorthalamicradiationL",0.484324641983696,0.0399553768967645,0.480996214673913,0.0406436586124011,13.3769395681412,"8.2473890888090885321079558082635442446775374524741203180921626e-41","1.5142206367053486544950206863979e-37",-0.082487840136738,-0.0945968345952341,-0.0703788456782418
