"","variable","value","p","Outcome"
"107","ANX",-0.0010294971696541,0.213231486966562,"BRIA.BRIA.v_extra_AnteriorlimbofinternalcapsuleR"
"108","ANX",-0.00144991716270097,0.0733909188957861,"BRIA.BRIA.v_extra_AnteriorlimbofinternalcapsuleL"
"109","ANX",-0.000120071947720098,0.89040444440775,"BRIA.BRIA.v_extra_.PosteriorlimbofinternalcapsuleR"
"110","ANX",7.70718749521826e-06,0.993448242113219,"BRIA.BRIA.v_extra_PosteriorlimbofinternalcapsuleL"
"111","ANX",0.000188057964178043,0.788905627805015,"BRIA.BRIA.v_extra_RetrolenticularpartofinternalcapsuleR"
"112","ANX",-0.000133218735967,0.852828487525866,"BRIA.BRIA.v_extra_RetrolenticularpartofinternalcapsuleL"
"113","ANX",-0.00051333437617208,0.481296571613526,"BRIA.BRIA.v_extra_AnteriorcoronaradiataR"
"114","ANX",-0.000459667316261549,0.536570342480783,"BRIA.BRIA.v_extra_AnteriorcoronaradiataL"
"115","ANX",0.000542131901018836,0.500085282652245,"BRIA.BRIA.v_extra_SuperiorcoronaradiataR"
"116","ANX",0.000500723930810172,0.533717496866468,"BRIA.BRIA.v_extra_SuperiorcoronaradiataL"
"117","ANX",0.000192780284225392,0.771436566085875,"BRIA.BRIA.v_extra_PosteriorcoronaradiataR"
"118","ANX",0.000155612714952231,0.804437718876964,"BRIA.BRIA.v_extra_PosteriorcoronaradiataL"
"119","ANX",0.000537479609409392,0.402506428573056,"BRIA.BRIA.v_extra_PosteriorthalamicradiationR"
"120","ANX",0.000464221245984138,0.450486420459541,"BRIA.BRIA.v_extra_PosteriorthalamicradiationL"
"121","ANX",0.000360430493862577,0.570078082921097,"BRIA.BRIA.v_extra_SagittalstratumR"
"122","ANX",-4.22916896181381e-05,0.946679126460977,"BRIA.BRIA.v_extra_SagittalstratumL"
"123","ANX",-7.57222776552725e-05,0.906318374396472,"BRIA.BRIA.v_extra_ExternalcapsuleR"
"124","ANX",-0.000296098710220013,0.638369708973419,"BRIA.BRIA.v_extra_ExternalcapsuleL"
"125","ANX",-0.000623773742959851,0.450221618870535,"BRIA.BRIA.v_extra_CingulumcingulategyrusR"
"126","ANX",-0.000754956051070737,0.372824060929431,"BRIA.BRIA.v_extra_CingulumcingulategyrusL"
"127","ANX",3.2294566250837e-05,0.962823522134076,"BRIA.BRIA.v_extra_CingulumhippocampusR"
"128","ANX",0.000143083680937127,0.840302926202616,"BRIA.BRIA.v_extra_CingulumhippocampusL"
"129","ANX",-0.00043645947479501,0.446062494787852,"BRIA.BRIA.v_extra_Fornix_StriaterminalisR"
"130","ANX",0.000206845419180754,0.744319125805395,"BRIA.BRIA.v_extra_Fornix_StriaterminalisL"
"131","ANX",0.000779831791221777,0.344201817304697,"BRIA.BRIA.v_extra_SuperiorlongitudinalfasciculusR"
"132","ANX",-2.13631646299618e-05,0.979091544704435,"BRIA.BRIA.v_extra_SuperiorlongitudinalfasciculusL"
"133","ANX",-0.00111507866434309,0.250195059065678,"BRIA.BRIA.v_extra_SuperiorfrontooccipitalfasciculusR"
"134","ANX",0.000360365255196523,0.742876163042032,"BRIA.BRIA.v_extra_SuperiorfrontooccipitalfasciculusL"
"135","ANX",0.000747784625965112,0.343459168155412,"BRIA.BRIA.v_extra_UncinatefasciculusR"
"136","ANX",-0.000105992674703689,0.885669116485607,"BRIA.BRIA.v_extra_UncinatefasciculusL"
"137","ANX",-0.000618149211936878,0.489780870486046,"BRIA.BRIA.v_extra_TapetumR"
"138","ANX",5.72257516716045e-05,0.953411813225468,"BRIA.BRIA.v_extra_TapetumL"
"139","ANX",-0.00014729589790936,0.719808024090723,"BRIA.BRIA.v_extra_Mean"
"140","ANX",-0.000858031397499178,0.597738017572238,"BRIA.BRIA.v_extra_SD"
"141","ANX",8.21993108924129e-05,0.844271529284032,"BRIA.BRIA.v_extra_CINGL"
"142","ANX",-0.000114919550406664,0.783831512893213,"BRIA.BRIA.v_extra_CINGR"
"143","ANX",-0.00159421546743005,0.735586507798397,"BRIA.BRIA.v_csf_ATRL"
"144","ANX",-0.00125188456277923,0.788586825356053,"BRIA.BRIA.v_csf_ATRR"
"145","ANX",-0.0020450255058614,0.681583439319595,"BRIA.BRIA.v_csf_CSTL"
"146","ANX",-0.00183118119685908,0.711126243032211,"BRIA.BRIA.v_csf_CSTR"
"147","ANX",-0.00213392282516274,0.66387267857539,"BRIA.BRIA.v_csf_CGL"
"148","ANX",-0.00177497671958666,0.721178863889614,"BRIA.BRIA.v_csf_CGR"
"149","ANX",-0.00266303663166328,0.576424709528195,"BRIA.BRIA.v_csf_FMAJ"
"150","ANX",-0.0017280859362262,0.722892679210826,"BRIA.BRIA.v_csf_FMIN"
"151","ANX",-0.00173170783907332,0.729169809484685,"BRIA.BRIA.v_csf_IFOFL"
"152","ANX",-0.00168974660713278,0.729721713754261,"BRIA.BRIA.v_csf_IFOFR"
"153","ANX",-0.00236244496522283,0.637790922619433,"BRIA.BRIA.v_csf_ILFL"
"154","ANX",-0.0024167913102784,0.630038979227658,"BRIA.BRIA.v_csf_ILFR"
"155","ANX",-0.00193293903281353,0.702936865065611,"BRIA.BRIA.v_csf_SLFL"
"156","ANX",-0.00213847911307272,0.670356152521551,"BRIA.BRIA.v_csf_SLFR"
"157","ANX",-0.00180973729580932,0.725330934741837,"BRIA.BRIA.v_csf_UFL"
"158","ANX",-0.00198033360466432,0.699123252722296,"BRIA.BRIA.v_csf_UFR"
"159","ANX",-0.00206518869007328,0.691186554500295,"BRIA.BRIA.v_csf_SLFTL"
"160","ANX",-0.0029815447922637,0.555981173119502,"BRIA.BRIA.v_csf_SLTFR"
"161","ANX",-0.00187387583431101,0.709691364778513,"BRIA.BRIA.v_csf_Middlecerebellarpeduncle"
"162","ANX",-0.00376764942114447,0.348798564910722,"BRIA.BRIA.v_csf_Pontine"
"163","ANX",-0.00225311611434489,0.597298231012348,"BRIA.BRIA.v_csf_GenuCC"
"164","ANX",-0.00125927252479844,0.750184714781785,"BRIA.BRIA.v_csf_BodyCC"
"165","ANX",-0.00258781760103425,0.583010207746183,"BRIA.BRIA.v_csf_SpleniumCC"
"166","ANX",1.97316157622535e-05,0.983805541851211,"BRIA.BRIA.v_csf_Fornix"
"167","ANX",-0.00323322545964265,0.440779842648439,"BRIA.BRIA.v_csf_CorticospinaltractR"
"168","ANX",-0.00198761614770656,0.606766884542808,"BRIA.BRIA.v_csf_CorticospinaltractL"
"169","ANX",-0.0042579813715953,0.375400305798316,"BRIA.BRIA.v_csf_MediallemniscusR"
"170","ANX",-0.00431413721863238,0.356844713470152,"BRIA.BRIA.v_csf_MediallemniscusL"
"171","ANX",-0.00224913498517552,0.642848717104087,"BRIA.BRIA.v_csf_InferiorcerebellarpeduncleR"
"172","ANX",-0.00179007144544518,0.707773053277792,"BRIA.BRIA.v_csf_InferiorcerebellarpeduncleL"
"173","ANX",-0.00166216567802809,0.643434770263836,"BRIA.BRIA.v_csf_SuperiorcerebellarpeduncleR"
"174","ANX",-0.00210027967647375,0.582005135074235,"BRIA.BRIA.v_csf_SuperiorcerebellarpeduncleL"
"175","ANX",-0.00192263719689623,0.666044133478701,"BRIA.BRIA.v_csf_CerebralpeduncleR"
"176","ANX",-0.00198432407833004,0.654645024401551,"BRIA.BRIA.v_csf_CerebralpeduncleL"
"177","ANX",-0.000303067939708682,0.951428754206918,"BRIA.BRIA.v_csf_AnteriorlimbofinternalcapsuleR"
