"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"1673","axEAD_AnteriorcoronaradiataR",0.123269097937419,0.0343460973329618,0.000337341031272201,0.619358133415761,"WMTI"
"1674","axEAD_AnteriorcoronaradiataL",0.0424518860719587,0.0344938790117873,0.218530712917914,1,"WMTI"
"1675","axEAD_SuperiorcoronaradiataR",-0.0203789909249754,0.0337907039573427,0.54649232060706,1,"BRIA"
"1676","axEAD_SuperiorcoronaradiataL",0.11789602638581,0.0339114544265682,0.000515208870991946,0.945923487141213,"BRIA"
"1677","axEAD_PosteriorcoronaradiataR",0.196625966876194,0.030541226794689,1.40846751527004e-10,2.58594635803579e-07,"BRIA"
"1678","axEAD_PosteriorcoronaradiataL",0.138221484408276,0.0326998234916521,2.44067694363503e-05,0.0448108286851391,"BRIA"
"1679","axEAD_PosteriorthalamicradiationR",-0.0763861737499725,0.0328157859032852,0.0199942357714285,1,"BRIA"
"1680","axEAD_PosteriorthalamicradiationL",-0.0398856571757181,0.032971996154932,0.226497990571171,1,"BRIA"
"1681","axEAD_SagittalstratumR",0.036255665834378,0.0325224927726969,0.265032741315237,1,"BRIA"
"1682","axEAD_SagittalstratumL",0.119664756127236,0.0335739905424882,0.000370767461800683,0.680729059866054,"BRIA"
"1683","axEAD_ExternalcapsuleR",0.0649073335478583,0.0335594628526422,0.0531968223881369,1,"BRIA"
"1684","axEAD_ExternalcapsuleL",0.0818529367431056,0.0338067672567886,0.0155295977753851,1,"DKI"
"1685","axEAD_CingulumcingulategyrusR",0.307702972563241,0.0334274857408587,6.3053972823132e-20,1.1576709410327e-16,"DKI"
"1686","axEAD_CingulumcingulategyrusL",0.398993921934832,0.0343281448461564,1.45323373865518e-30,2.6681371441709e-27,"DKI"
"1687","axEAD_CingulumhippocampusR",0.101053693131932,0.0274783323967842,0.000239677854867248,0.440048541536266,"DTI"
"1688","axEAD_CingulumhippocampusL",0.117721232550594,0.0265801562927406,9.8165326712367e-06,0.0180231539843906,"DTI"
"1689","axEAD_Fornix_StriaterminalisR",0.0636513411125984,0.0316007351415388,0.0440757197452547,1,"DTI"
"1690","axEAD_Fornix_StriaterminalisL",0.0366278280302855,0.0321342607411568,0.254447019061527,1,"DTI"
"1691","axEAD_SuperiorlongitudinalfasciculusR",0.0890576724274887,0.0331598510723333,0.00727833041521481,1,"SMT"
"1692","axEAD_SuperiorlongitudinalfasciculusL",0.126279031616502,0.0349927368986021,0.000312846916135664,0.574386938025079,"SMT"
"1693","axEAD_SuperiorfrontooccipitalfasciculusR",0.308523388040356,0.0314376910976661,2.1600393040464e-22,3.96583216222919e-19,"SMT"
"1694","axEAD_SuperiorfrontooccipitalfasciculusL",0.180411158472754,0.0324210655186583,2.86354614282786e-08,5.25747071823196e-05,"SMT"
"1695","axEAD_UncinatefasciculusR",0.198377898351135,0.0337713532399922,4.72668491265220e-09,8.67819349962943e-06,"SMTmc"
