"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"1723","radEAD_SpleniumCC",-9.52199901444659e-06,0.0103690528786276,0.999267363615499,1,"BRIA"
"1724","radEAD_Fornix",3.06097492725493e-06,0.00335381999184661,0.999271852437943,1,"BRIA"
"1725","radEAD_CorticospinaltractR",-3.85690654957715e-06,0.00976772550899951,0.999684974897461,1,"BRIA"
"1726","radEAD_CorticospinaltractL",-3.12830430838875e-06,0.00991552772042688,0.99974829452914,1,"DKI"
"1727","radEAD_MediallemniscusR",8.21098366795257e-06,0.0124939190894393,0.999475680546757,1,"DKI"
"1728","radEAD_MediallemniscusL",6.15932081501642e-06,0.0122116309091422,0.999597599380732,1,"DKI"
"1729","radEAD_InferiorcerebellarpeduncleR",-9.84715824702526e-07,0.0133621803807575,0.999941205988942,1,"DTI"
"1730","radEAD_InferiorcerebellarpeduncleL",-1.35473783596281e-07,0.0129265138744288,0.99999163870887,1,"DTI"
"1731","radEAD_SuperiorcerebellarpeduncleR",3.96316202636489e-06,0.00989373364372295,0.999680418887144,1,"DTI"
"1732","radEAD_SuperiorcerebellarpeduncleL",4.85635828265556e-06,0.0108001442545726,0.999641259300459,1,"DTI"
"1733","radEAD_CerebralpeduncleR",-7.67345753118983e-06,0.0139394445737163,0.999560817420839,1,"SMT"
"1734","radEAD_CerebralpeduncleL",8.55212013654195e-06,0.0133926977548415,0.999490545748562,1,"SMT"
"1735","radEAD_AnteriorlimbofinternalcapsuleR",-9.34760814223364e-06,0.00965939421128233,0.999227941805294,1,"SMT"
"1736","radEAD_AnteriorlimbofinternalcapsuleL",-6.38593862349514e-06,0.00891031852085902,0.999428217365349,1,"SMT"
"1737","radEAD_.PosteriorlimbofinternalcapsuleR",-8.40548424479265e-06,0.0137716237011085,0.999513058188413,1,"SMTmc"
"1738","radEAD_PosteriorlimbofinternalcapsuleL",3.92486881111991e-06,0.0130111213617824,0.999759336683917,1,"SMTmc"
"1739","radEAD_RetrolenticularpartofinternalcapsuleR",-1.09694716494394e-05,0.0105218069900128,0.999168246208061,1,"SMTmc"
"1740","radEAD_RetrolenticularpartofinternalcapsuleL",1.0515804663441e-08,0.0113641232556933,0.99999926174555,1,"SMTmc"
"1741","radEAD_AnteriorcoronaradiataR",-5.39427522668545e-06,0.00790585066920905,0.999455642839585,1,"WMTI"
"1742","radEAD_AnteriorcoronaradiataL",-1.3122914371625e-06,0.00734610100842689,0.999857480961816,1,"WMTI"
"1743","radEAD_SuperiorcoronaradiataR",-1.12644984076097e-05,0.00944188792078141,0.999048185295933,1,"BRIA"
"1744","radEAD_SuperiorcoronaradiataL",-9.91185280856607e-06,0.00864524811382843,0.999085303985087,1,"BRIA"
"1745","radEAD_PosteriorcoronaradiataR",-7.04208065087109e-06,0.00617328167182525,0.999089910104672,1,"BRIA"
"1746","radEAD_PosteriorcoronaradiataL",-8.117052957471e-06,0.00659970647585359,0.999018764728528,1,"BRIA"
"1747","radEAD_PosteriorthalamicradiationR",-1.01015956130404e-06,0.00748141860548727,0.999892277725097,1,"BRIA"
"1748","radEAD_PosteriorthalamicradiationL",1.39593685223018e-06,0.00605182918939621,0.999815974266888,1,"BRIA"
"1749","radEAD_SagittalstratumR",2.42082576407077e-06,0.00966582015896758,0.99980018673275,1,"BRIA"
"1750","radEAD_SagittalstratumL",6.36506589658952e-06,0.00966078968120572,0.999474358405099,1,"BRIA"
"1751","radEAD_ExternalcapsuleR",1.09914748087748e-06,0.00843002676353558,0.999895977685314,1,"BRIA"
"1752","radEAD_ExternalcapsuleL",3.86287414177075e-06,0.00893114745745264,0.999654933523493,1,"DKI"
"1753","radEAD_CingulumcingulategyrusR",-1.30565970095815e-05,0.0114849828593844,0.999093017206789,1,"DKI"
"1754","radEAD_CingulumcingulategyrusL",-1.27804222287023e-05,0.0105374364160721,0.999032369318323,1,"DKI"
"1755","radEAD_CingulumhippocampusR",-3.46532452255307e-06,0.012049653578642,0.999770560154878,1,"DTI"
"1756","radEAD_CingulumhippocampusL",1.17289959145336e-05,0.0130577112719933,0.999283372933115,1,"DTI"
"1757","radEAD_Fornix_StriaterminalisR",-1.18599196213733e-05,0.0104729895483157,0.999096536768599,1,"DTI"
"1758","radEAD_Fornix_StriaterminalisL",-9.38852570834691e-06,0.0122964099055772,0.999390858022369,1,"DTI"
"1759","radEAD_SuperiorlongitudinalfasciculusR",-1.61409435676339e-05,0.00723477303713675,0.998220069223557,1,"SMT"
"1760","radEAD_SuperiorlongitudinalfasciculusL",-9.93892318864267e-06,0.0070798641019077,0.998880011015041,1,"SMT"
"1761","radEAD_SuperiorfrontooccipitalfasciculusR",-1.14209708635753e-05,0.0115059438511912,0.999208082023561,1,"SMT"
"1762","radEAD_SuperiorfrontooccipitalfasciculusL",-9.40899893177922e-06,0.0108183674361254,0.999306125165865,1,"SMT"
"1763","radEAD_UncinatefasciculusR",8.49371537835085e-06,0.012549987224161,0.999460049572307,1,"SMTmc"
"1764","radEAD_UncinatefasciculusL",6.84320032085372e-06,0.0128185605067292,0.999574088397696,1,"SMTmc"
"1765","radEAD_TapetumR",-1.21560260327289e-06,0.00562005491586668,0.99982743585896,1,"SMTmc"
"1766","radEAD_TapetumL",1.92049593866907e-06,0.00597824091951114,0.999743705390363,1,"SMTmc"
"1767","radEAD_CINGL",6.39310248512164e-06,0.0103770558258519,0.999508484775206,1,"WMTI"
"1768","radEAD_CINGR",-5.69927640457395e-06,0.00994826929739491,0.999542941630106,1,"WMTI"
