"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"139","v_csf_CSTL",0.0223716613900798,0.0303541595211801,0.461167234763333,1,"BRIA"
"140","v_csf_CSTR",-0.0025582115959103,0.0296543006915802,0.931259299085036,1,"BRIA"
"141","v_csf_CGL",-0.062887608505361,0.0309975839687126,0.0425670244743794,1,"BRIA"
"142","v_csf_CGR",-0.0859942961862342,0.03073255642105,0.00517231970979259,1,"BRIA"
"143","v_csf_FMAJ",-0.0279621019313833,0.0312551777361897,0.371051156209591,1,"BRIA"
"144","v_csf_FMIN",0.0375071828366152,0.0298003479207042,0.20826529970903,1,"BRIA"
"145","v_csf_IFOFL",0.0154251284321384,0.0306028833935192,0.614268322394719,1,"DKI"
"146","v_csf_IFOFR",-0.0148571645355422,0.0306471648126071,0.627866226120569,1,"DKI"
"147","v_csf_ILFL",0.0192480786253885,0.03113391400934,0.536466888258028,1,"DKI"
"148","v_csf_ILFR",0.0257917497283744,0.0317457444180991,0.416598904818418,1,"DTI"
"149","v_csf_SLFL",-0.0334209335464875,0.0325288314426223,0.304300098258656,1,"DTI"
"150","v_csf_SLFR",-0.0542384000092037,0.0310062257386251,0.0803425561424579,1,"DTI"
"151","v_csf_UFL",0.0306865618666365,0.0315928974015032,0.331470390597109,1,"DTI"
"152","v_csf_UFR",0.0536665212682664,0.0317077905517315,0.0906478282662063,1,"SMT"
"153","v_csf_SLFTL",-0.0338861765565646,0.0322687556403968,0.293745316015576,1,"SMT"
"154","v_csf_SLTFR",-0.0551179118899128,0.0323191240313933,0.0882179151390586,1,"SMT"
"155","v_csf_Middlecerebellarpeduncle",0.0155095613000286,0.0300484333587459,0.605786613931388,1,"SMT"
"156","v_csf_Pontine",0.0256642404507998,0.0341386391965689,0.452250287648415,1,"SMTmc"
"157","v_csf_GenuCC",0.0319983892726866,0.0307740650409039,0.298520365540042,1,"SMTmc"
"158","v_csf_BodyCC",-0.0267808608153883,0.0319487730753125,0.401956065896556,1,"SMTmc"
"159","v_csf_SpleniumCC",-0.0431072724782556,0.0317658687970043,0.174872401985215,1,"SMTmc"
"160","v_csf_Fornix",-0.0505109255919646,0.027566846041018,0.0669923563216595,1,"WMTI"
"161","v_csf_CorticospinaltractR",0.0216124870998025,0.0342619958244543,0.528218282541079,1,"WMTI"
"162","v_csf_CorticospinaltractL",0.00800656628076999,0.0337480504216594,0.812482579763781,1,"WMTI"
"163","v_csf_MediallemniscusR",0.060200269392593,0.0328516969548198,0.0669777911031455,1,"BRIA"
"164","v_csf_MediallemniscusL",0.0362825499124806,0.0325316788512585,0.264811406143982,1,"BRIA"
"165","v_csf_InferiorcerebellarpeduncleR",0.00312070893472578,0.0308869913777857,0.919528395662857,1,"BRIA"
"166","v_csf_InferiorcerebellarpeduncleL",0.0188970043967507,0.0303479762699652,0.533544008210203,1,"BRIA"
"167","v_csf_SuperiorcerebellarpeduncleR",0.00229456631194915,0.0337948334191043,0.94587213153118,1,"BRIA"
"168","v_csf_SuperiorcerebellarpeduncleL",-0.0128116370667243,0.0329472304892306,0.697412220304169,1,"BRIA"
"169","v_csf_CerebralpeduncleR",0.00516353710467697,0.0284998326930539,0.856240373523788,1,"BRIA"
"170","v_csf_CerebralpeduncleL",0.0989766768781295,0.0298664523308479,0.00093081185642787,1,"BRIA"
"171","v_csf_AnteriorlimbofinternalcapsuleR",-0.0364254022090843,0.0320243692735232,0.25544901469228,1,"BRIA"
"172","v_csf_AnteriorlimbofinternalcapsuleL",-0.0424544799548591,0.0319286780320618,0.183727835373496,1,"DKI"
"173","v_csf_.PosteriorlimbofinternalcapsuleR",-0.00639526008077998,0.0280368385322258,0.819582613276624,1,"DKI"
"174","v_csf_PosteriorlimbofinternalcapsuleL",0.0631222160537692,0.0303392489415419,0.0375608553818388,1,"DKI"
"175","v_csf_RetrolenticularpartofinternalcapsuleR",-0.0558161769685126,0.0301736566698927,0.0644357999439172,1,"DTI"
"176","v_csf_RetrolenticularpartofinternalcapsuleL",0.00579026073442091,0.0313538849266134,0.853496911399743,1,"DTI"
"177","v_csf_AnteriorcoronaradiataR",-0.0166919054936931,0.0310015789961218,0.590325711588092,1,"DTI"
"178","v_csf_AnteriorcoronaradiataL",-0.010743034510213,0.0307427576776836,0.726776105582347,1,"DTI"
"179","v_csf_SuperiorcoronaradiataR",-0.0254462521105585,0.0300920555037532,0.397835572573995,1,"SMT"
"180","v_csf_SuperiorcoronaradiataL",0.0103632521364068,0.0309770926568145,0.737991000946601,1,"SMT"
"181","v_csf_PosteriorcoronaradiataR",-0.00137654748617875,0.0314205744263318,0.965058303573297,1,"SMT"
"182","v_csf_PosteriorcoronaradiataL",-0.0243446409206288,0.0320346205858787,0.447342319833442,1,"SMT"
"183","v_csf_PosteriorthalamicradiationR",-0.0169968202745218,0.0317696741182418,0.592687927142107,1,"SMTmc"
"184","v_csf_PosteriorthalamicradiationL",-0.00973545041805155,0.0313335593315813,0.756046970403367,1,"SMTmc"
"185","v_csf_SagittalstratumR",0.0351014271652979,0.0308491055781032,0.255276602696373,1,"SMTmc"
"186","v_csf_SagittalstratumL",0.0511840292704332,0.0312602275182711,0.101660835593181,1,"SMTmc"
"187","v_csf_ExternalcapsuleR",0.00651407134336358,0.0321883852313468,0.839638110179381,1,"WMTI"
"188","v_csf_ExternalcapsuleL",0.0110874026397101,0.0332375222037663,0.738718316697388,1,"WMTI"
"189","v_csf_CingulumcingulategyrusR",-0.1090530113683,0.0314925676396027,0.000542046993169454,0.995198279459117,"WMTI"
"190","v_csf_CingulumcingulategyrusL",-0.085731263864476,0.0319036302987005,0.00724533607026288,1,"BRIA"
"191","v_csf_CingulumhippocampusR",0.0196117200324043,0.0316188803724274,0.535138316883483,1,"BRIA"
"192","v_csf_CingulumhippocampusL",0.0382524098492184,0.0320037358790737,0.232084828681874,1,"BRIA"
"193","v_csf_Fornix_StriaterminalisR",-0.0420446335009783,0.0288315442408009,0.144866336543874,1,"BRIA"
"194","v_csf_Fornix_StriaterminalisL",-0.0626124348670978,0.0296698453045157,0.0349150949205346,1,"BRIA"
"195","v_csf_SuperiorlongitudinalfasciculusR",-0.0662636126730276,0.0309665806401725,0.0324464054860909,1,"BRIA"
"196","v_csf_SuperiorlongitudinalfasciculusL",-0.0527512547559396,0.032854387005396,0.108463284777656,1,"BRIA"
"197","v_csf_SuperiorfrontooccipitalfasciculusR",-0.0290896768066418,0.0306163963741474,0.342120998852587,1,"BRIA"
"198","v_csf_SuperiorfrontooccipitalfasciculusL",-0.0197562297255076,0.0315592178509191,0.531359140747673,1,"BRIA"
"199","v_csf_UncinatefasciculusR",0.0657260388238256,0.0320456338438058,0.0403526769694868,1,"DKI"
"200","v_csf_UncinatefasciculusL",0.052615551867383,0.0318734566036453,0.0988920206911917,1,"DKI"
"201","v_csf_TapetumR",-0.0141592323254,0.0322171459089951,0.660333634702611,1,"DKI"
"202","v_csf_TapetumL",-0.00519017056754307,0.033090257815397,0.875373885491313,1,"DTI"
"203","v_csf_CINGL",0.0212573681374434,0.0324171280291459,0.51203770991607,1,"DTI"
"204","v_csf_CINGR",-0.0147536573660339,0.0319362738026553,0.644134612903961,1,"DTI"
"205","micro_Rd_ATRL",-0.0423773728075779,0.030041356987826,0.158452250107591,1,"DTI"
"206","micro_Rd_ATRR",-0.0186853821492452,0.0296292230497954,0.528322435468771,1,"SMT"
"207","micro_Rd_CSTL",-0.0366700878641487,0.0323566002339407,0.257172297847075,1,"SMT"
"208","micro_Rd_CSTR",-0.0438701698788043,0.0321652645546015,0.17269930170569,1,"SMT"
"209","micro_Rd_CGL",-0.0593898488234054,0.0320751038160116,0.0641777431162501,1,"SMT"
"210","micro_Rd_CGR",-0.0749610877219529,0.0322516846953193,0.0201755917747124,1,"SMTmc"
"211","micro_Rd_FMAJ",-0.0406327211430761,0.0326367509700673,0.213224742379737,1,"SMTmc"
"212","micro_Rd_FMIN",0.0176211845166253,0.0305937430929645,0.564671565909892,1,"SMTmc"
"213","micro_Rd_IFOFL",-0.0176857448874796,0.0313622992493378,0.572849656385923,1,"SMTmc"
"214","micro_Rd_IFOFR",-0.029525811390941,0.0316787432511973,0.351386528641908,1,"WMTI"
"215","micro_Rd_ILFL",-0.0188726182801598,0.0325286779859587,0.561831965816253,1,"WMTI"
"216","micro_Rd_ILFR",-0.0158572066117344,0.0329445305140342,0.63031559682145,1,"WMTI"
"217","micro_Rd_SLFL",-0.0565546033346465,0.0322050802246779,0.0791657503671017,1,"BRIA"
"218","micro_Rd_SLFR",-0.0703496025905624,0.031752267451211,0.0267884046149794,1,"BRIA"
"219","micro_Rd_UFL",-0.0155581601705843,0.0315161978166587,0.621583137203014,1,"BRIA"
"220","micro_Rd_UFR",0.0122546347305709,0.0326850068705019,0.707737107610647,1,"BRIA"
"221","micro_Rd_SLFTL",-0.0530408474240315,0.0325547304613714,0.103352171629598,1,"BRIA"
"222","micro_Rd_SLTFR",-0.0640559860489837,0.0334875836376679,0.0558621064333652,1,"BRIA"
"223","micro_Rd_Middlecerebellarpeduncle",-0.0171456264594378,0.0319970772039445,0.592102255443372,1,"BRIA"
"224","micro_Rd_Pontine",0.00929838208231527,0.0341896448035114,0.785667358948755,1,"BRIA"
"225","micro_Rd_GenuCC",0.0108518914248258,0.030953708144391,0.725922058446051,1,"BRIA"
"226","micro_Rd_BodyCC",-0.0404860349300418,0.0318320131127069,0.203509138983684,1,"DKI"
"227","micro_Rd_SpleniumCC",-0.0510341995804127,0.0326872537236254,0.118555831857114,1,"DKI"
"228","micro_Rd_Fornix",-0.053892264815531,0.0275757570671743,0.0507422141495097,1,"DKI"
"229","micro_Rd_CorticospinaltractR",-0.00258103275085517,0.0344902205863365,0.94035185438994,1,"DTI"
"230","micro_Rd_CorticospinaltractL",-0.00535763337582398,0.0343676020746814,0.876128467697979,1,"DTI"
"231","micro_Rd_MediallemniscusR",0.0350372690336109,0.0333617805847295,0.293700035998571,1,"DTI"
"232","micro_Rd_MediallemniscusL",0.0161079752259195,0.0331122412671477,0.626672179629029,1,"DTI"
"233","micro_Rd_InferiorcerebellarpeduncleR",-0.033867066487399,0.031650971625715,0.284698139952333,1,"SMT"
"234","micro_Rd_InferiorcerebellarpeduncleL",-0.0169506666052672,0.0312355140385028,0.587395437801115,1,"SMT"
"235","micro_Rd_SuperiorcerebellarpeduncleR",-0.00306154142376593,0.0345056641078157,0.929305650144023,1,"SMT"
"236","micro_Rd_SuperiorcerebellarpeduncleL",-0.0166299598177135,0.0338467686721154,0.623228005331243,1,"SMT"
"237","micro_Rd_CerebralpeduncleR",-0.0238244187327938,0.0304112097933912,0.433449107030307,1,"SMTmc"
"238","micro_Rd_CerebralpeduncleL",0.0540849605713114,0.0307699044532663,0.0788972561421428,1,"SMTmc"
"239","micro_Rd_AnteriorlimbofinternalcapsuleR",-0.0515622112347341,0.0317008656528902,0.103939723662065,1,"SMTmc"
"240","micro_Rd_AnteriorlimbofinternalcapsuleL",-0.0512759363240313,0.0317404396506964,0.106309467333048,1,"SMTmc"
"241","micro_Rd_.PosteriorlimbofinternalcapsuleR",-0.0527173771890633,0.0300250717715159,0.0792285158395344,1,"WMTI"
"242","micro_Rd_PosteriorlimbofinternalcapsuleL",-0.0059767282665804,0.0309219362728868,0.846749384406189,1,"WMTI"
"243","micro_Rd_RetrolenticularpartofinternalcapsuleR",-0.0550168895421779,0.032482417391378,0.0904146353301547,1,"WMTI"
"244","micro_Rd_RetrolenticularpartofinternalcapsuleL",-0.0257273235093786,0.0330064538921952,0.435766795576187,1,"BRIA"
"245","micro_Rd_AnteriorcoronaradiataR",-0.0292546672344507,0.0316202507325354,0.354935368570698,1,"BRIA"
"246","micro_Rd_AnteriorcoronaradiataL",-0.022397491363158,0.0313034758510854,0.474353239537401,1,"BRIA"
"247","micro_Rd_SuperiorcoronaradiataR",-0.0554148341607893,0.0316532779644729,0.0800981217648208,1,"BRIA"
"248","micro_Rd_SuperiorcoronaradiataL",-0.0302587640846543,0.0317786823826959,0.341082145914894,1,"BRIA"
"249","micro_Rd_PosteriorcoronaradiataR",-0.0204382226909222,0.0319193527376083,0.522015743279352,1,"BRIA"
"250","micro_Rd_PosteriorcoronaradiataL",-0.0374731578722397,0.0324766164862811,0.248642990751488,1,"BRIA"
"251","micro_Rd_PosteriorthalamicradiationR",-0.0406788742572183,0.0328964667969481,0.21633834207361,1,"BRIA"
"252","micro_Rd_PosteriorthalamicradiationL",-0.0275408295447014,0.032301908931471,0.393941216005131,1,"BRIA"
"253","micro_Rd_SagittalstratumR",-0.00140385668966195,0.0324555935734305,0.965501299253991,1,"DKI"
"254","micro_Rd_SagittalstratumL",0.000739207987828258,0.0320986769073215,0.981628426038353,1,"DKI"
"255","micro_Rd_ExternalcapsuleR",-0.0179393494724196,0.0317137122727345,0.571661504233022,1,"DKI"
